False Positive Rate,WiMapper (Proposed),Hybrid (GMM),Hybrid (IF),Hybrid (AE)
0.8787878787878789,0.966409481195241,0.9717654862924056,0.9715993560968077,0.9659096770278675
0.888888888888889,0.9681533569435767,0.9730527065586001,0.9742152559132489,0.9682347929759526
0.8989898989898991,0.9706030231316947,0.9763328340980457,0.9769971824925632,0.970850692792394
0.9090909090909092,0.9732603132770382,0.9785335032388234,0.9787825175249514,0.9733836223243678
0.9191919191919192,0.9752118646989626,0.9803188037936363,0.9806509779908952,0.9759163794684662
0.9292929292929294,0.9772464381217167,0.9829761973717055,0.9833085094792645,0.9785738937180479
0.9393939393939394,0.9799454116553509,0.9856335737109869,0.9859242886241931,0.980940675815636
0.9494949494949496,0.9828932270872379,0.9878341566578266,0.9881249922425456,0.9839718752628915
0.9595959595959597,0.9865470915407201,0.9903670344734378,0.9901180719036725,0.9865047703172903
0.9696969696969697,0.988623279396615,0.9933151602035005,0.9926922021378856,0.9898682818721047
0.9797979797979799,0.9919864461756784,0.9951836723858069,0.9953080847155393,0.9931487197097264
0.98989898989899,0.9961800570672825,0.9974257490942741,0.9977577336648696,0.9959308014381285
1.0,1.0,1.0,1.0,1.0
