x,y,label
36.020493,1.2509485,Normal
1.3611802,6.023835,Normal
32.64857,-26.875887,Normal
-5.0531616,32.661407,Normal
28.858019,-1.8380852,Normal
-43.85421,16.657505,Normal
-1.9554383,-37.431423,Normal
21.95283,-13.347163,Normal
-28.759693,13.779986,Normal
30.054893,-17.74334,Normal
25.65888,-22.400686,Normal
11.100626,-8.346719,Normal
46.1428,-5.4201813,Normal
-0.004569528,18.660025,Normal
2.6162007,-30.427727,Normal
-40.85652,-16.134317,Normal
-29.489174,-5.879776,Normal
-5.8305907,15.467501,Normal
-2.059876,19.2129,Normal
-34.23858,-18.713783,Normal
23.764893,-16.238573,Normal
-3.9603848,13.799126,Normal
-18.672728,-34.77707,Normal
-13.672876,-8.02125,Normal
-39.51513,-23.228685,Normal
-27.340685,22.685053,Normal
27.690264,-31.986147,Normal
33.383896,-1.09788,Normal
14.602429,26.302366,Normal
29.690144,-16.541166,Normal
-20.765179,-18.043114,Normal
11.458708,19.468094,Normal
-24.438751,-14.387893,Normal
-25.096043,25.00589,Normal
-15.360464,30.024717,Normal
-1.8240705,3.150069,Normal
-28.05112,-18.211475,Normal
2.9736612,-0.6194644,Normal
23.9611,9.498498,Normal
-7.937237,22.704777,Normal
-44.302074,3.6401196,Normal
-15.849332,-30.159393,Normal
-17.589125,30.060974,Normal
42.299084,-8.969733,Normal
-42.07556,11.283198,Normal
-0.74382967,-31.481548,Normal
15.547352,4.697589,Normal
39.88962,3.2344487,Normal
39.965206,-7.15863,Normal
3.5651102,-2.2987204,Normal
6.836994,-16.500742,Normal
0.80505145,-29.287045,Normal
-7.7717185,30.276571,Normal
39.031517,-11.442014,Normal
-29.96673,4.094144,Normal
8.500477,7.9878626,Normal
-27.941511,-15.07903,Normal
9.465572,-8.642304,Normal
26.560368,-28.342934,Normal
-28.903055,10.297443,Normal
2.198321,25.005796,Normal
1.3116302,-30.317453,Normal
13.84981,18.609755,Normal
-23.415781,5.5684047,Normal
23.352104,32.891827,Normal
-14.530524,-16.204777,Normal
4.0532146,-22.552197,Normal
31.02924,21.827991,Normal
23.983755,5.71575,Normal
29.733229,-3.00704,Normal
-42.214497,-32.837627,Normal
0.40200436,-40.51285,Normal
-20.02724,-35.422726,Normal
-0.644398,-6.9691453,Normal
-2.3175554,28.329885,Normal
-13.231137,18.133064,Normal
-1.0776069,42.756996,Normal
-28.21557,-26.614511,Normal
17.271793,22.620226,Normal
29.274069,-32.166428,Normal
25.564323,-22.55114,Normal
-44.824196,2.8595977,Normal
12.708507,-29.410881,Normal
-30.622713,21.205404,Normal
-2.9651036,1.2453653,Normal
-12.036433,-19.036478,Normal
-44.03386,16.151682,Normal
28.852568,-22.94373,Normal
11.719633,33.270557,Normal
-19.790056,-29.481339,Normal
-2.199771,45.49549,Normal
45.70118,-4.711763,Normal
-7.8793187,-17.92899,Normal
-37.195568,-24.897196,Normal
-2.2598896,26.038385,Normal
-10.287199,-16.455128,Normal
-0.15043545,1.8417943,Normal
-27.105215,-30.102629,Normal
-43.27462,20.321272,Normal
-39.206135,5.350657,Normal
-37.656628,-7.931032,Normal
-27.18299,-2.931725,Normal
9.8885145,14.875182,Normal
-35.612312,-29.883284,Normal
41.094044,10.806563,Normal
-30.797102,9.276435,Normal
-43.131794,18.51214,Normal
-38.588264,-8.988806,Normal
-39.257168,-19.86181,Normal
16.54055,1.7714759,Normal
-34.612038,13.002966,Normal
-18.833105,33.948933,Normal
35.325535,22.673864,Normal
-22.157944,-14.046967,Normal
-15.3617735,22.240425,Normal
-39.785576,-9.457882,Normal
29.6975,-16.6655,Normal
24.924593,32.409565,Normal
-34.131306,13.325799,Normal
-10.756494,-14.242983,Normal
16.822401,-11.738059,Normal
28.513256,25.46231,Normal
-6.0199103,30.143719,Normal
-1.2480797,-11.487882,Normal
14.885697,27.643742,Normal
-7.678126,-30.393238,Normal
-8.350548,17.185812,Normal
8.082727,-37.965984,Normal
6.3153777,14.764668,Normal
1.6490538,24.690512,Normal
29.898485,29.495798,Normal
21.81038,-15.424662,Normal
-36.122967,17.539509,Normal
17.70631,22.026617,Normal
-40.66984,9.002493,Normal
35.631523,11.862586,Normal
-15.497389,-31.221258,Normal
-29.384893,11.152226,Normal
43.541157,10.075545,Normal
-20.607952,-9.74917,Normal
-7.3962083,28.8567,Normal
-2.3797596,37.72271,Normal
4.935375,17.018454,Normal
18.819977,-22.372398,Normal
31.599566,3.719921,Normal
-19.389565,-0.3665152,Normal
-13.174693,-10.5889635,Normal
24.110828,9.323542,Normal
43.53657,-15.241086,Normal
23.642714,20.93085,Normal
-43.418514,9.136296,Normal
27.793232,-27.064335,Normal
-25.130089,13.873437,Normal
-7.6338634,5.833871,Normal
41.167976,-11.061736,Normal
11.395578,-36.84027,Normal
-23.01006,-15.169963,Normal
-3.2294743,-15.603408,Normal
31.503891,-15.425486,Normal
-7.311855,44.349556,Normal
30.603107,-1.688947,Normal
-42.84558,20.060106,Normal
-22.327927,7.034094,Normal
-31.739697,14.999775,Normal
24.347553,-3.9572537,Normal
40.798218,-8.6187105,Normal
-41.337738,-34.379047,Normal
2.016847,-2.3177025,Normal
-5.93982,45.19946,Normal
35.069252,23.75323,Anomaly
-22.878075,24.553772,Normal
-11.289758,17.15899,Normal
46.018726,1.8838797,Normal
29.718582,1.5245863,Normal
29.012926,26.623476,Normal
36.74186,-26.260798,Normal
-35.39678,-0.5765952,Normal
-35.598743,-16.86227,Normal
-33.17771,7.2818384,Normal
18.665184,9.272239,Normal
11.933101,-32.333633,Normal
-40.82858,-24.266148,Normal
8.455642,16.81618,Normal
9.445884,19.419003,Normal
-16.104855,21.524649,Normal
-12.090604,31.915401,Normal
-7.1618476,-17.286066,Normal
33.03846,-35.930584,Normal
0.80337304,-6.888205,Normal
46.91917,8.344898,Normal
-30.064066,-6.3072915,Normal
1.1801169,-37.21548,Normal
-6.763384,9.542321,Normal
-20.450592,-13.796514,Normal
43.292618,1.038845,Normal
24.539833,32.591686,Normal
-7.277693,-32.376644,Normal
0.7304504,4.5138454,Normal
-45.755775,-7.8708944,Normal
23.316166,6.520529,Normal
-28.215712,-26.614487,Normal
13.74977,21.309723,Normal
-5.6555657,47.269062,Normal
44.824444,-6.3643537,Normal
-34.66235,-27.765831,Normal
17.35049,0.84261817,Normal
-42.076553,18.504915,Normal
-9.157327,29.86127,Normal
-16.986292,35.399326,Normal
-28.793486,-27.728075,Normal
-17.958693,37.637833,Normal
-36.158382,-16.709127,Normal
-2.9502943,1.8040181,Normal
-38.336147,3.8695018,Normal
38.785572,8.731356,Normal
-43.630722,3.5889168,Normal
24.064949,-14.434263,Normal
35.74196,-2.5977514,Normal
-43.522346,-36.63504,Normal
13.816509,21.780495,Normal
40.08714,20.90412,Normal
-14.446487,31.838778,Normal
-17.716335,37.70355,Normal
-17.088175,-8.823814,Normal
-25.417986,-26.54091,Normal
19.16345,24.348526,Normal
42.814064,-2.477393,Normal
-1.0852832,-21.98889,Normal
17.488478,2.9958727,Normal
-17.821455,-9.615753,Normal
15.972838,-9.923998,Normal
27.408916,-32.767666,Normal
-41.893246,20.726011,Normal
21.566751,-20.368202,Normal
3.3181763,-29.926119,Normal
-11.105894,-18.049274,Normal
-39.63463,11.769739,Normal
1.392256,-39.959347,Normal
48.494396,-11.64659,Normal
11.53185,-26.410656,Normal
21.475615,-16.179396,Normal
15.086661,19.473293,Normal
-37.229782,4.7391376,Normal
-8.310554,43.50058,Normal
-31.244326,21.328884,Normal
35.92636,-10.3582,Anomaly
-40.217205,20.223444,Normal
33.641922,18.791582,Normal
-11.409341,5.774624,Normal
-11.606446,8.565135,Normal
34.772583,-26.351498,Normal
33.182484,-9.9161625,Normal
-28.491467,-24.739279,Normal
-7.8048897,-16.610062,Normal
-26.233688,4.647831,Normal
8.182696,-35.595753,Normal
-37.087765,3.2280188,Normal
1.7824843,-0.64471036,Normal
20.10715,-17.54224,Normal
25.427109,-2.8072307,Normal
-8.10475,-7.5019393,Normal
3.2741284,-33.36141,Anomaly
7.624358,19.385157,Normal
-39.12741,-23.287914,Normal
-25.665756,-4.7114677,Normal
30.630764,-29.345448,Normal
-18.559326,4.2726803,Normal
20.111652,-25.626146,Normal
-7.95938,-31.556969,Normal
18.427288,7.4285245,Normal
27.477793,-4.7944913,Normal
-13.0759535,19.376234,Normal
7.7834573,-28.193186,Normal
8.624054,18.695543,Normal
35.65974,9.928328,Normal
6.075298,31.411968,Normal
34.933006,6.650443,Normal
5.002381,-35.12527,Normal
24.053196,-17.667551,Normal
27.557337,-15.225663,Normal
28.956738,1.9099287,Normal
-23.22213,-26.284494,Normal
-19.135344,14.874464,Normal
-5.6043167,19.171293,Normal
24.256737,-12.330361,Normal
15.946664,5.6737223,Normal
36.964344,-26.153027,Normal
-40.443356,-16.86094,Anomaly
-34.21145,-23.960247,Normal
29.504171,-14.9059925,Normal
26.95715,-13.5117855,Normal
-7.3156395,-10.148812,Normal
42.499596,9.27738,Normal
43.65218,5.328851,Normal
-15.057885,-16.310186,Normal
-7.456078,43.259983,Normal
-29.43465,15.8417425,Normal
-44.59943,5.5034103,Normal
-11.263382,19.357988,Normal
7.6795306,-27.781443,Normal
